"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Clouds Are Not Spheres: The Fractal Theory Of Benoit Mandelbrot","Films for the Humanities ...",,"Discontinued","2.0","4:3",169.95,"NR","UNK","Special Interest","1.33:1","9781421339719",2007-05-22 00:00:00,208153,2011-06-04 00:00:00
"Clouds Of Sils Maria","Paramount",,"Out","SUB","LBX, 16:9",29.99,"R","2014","Foreign","2.35:1","032429229090",2015-07-14 00:00:00,280504,2015-07-14 00:00:00
"Clouds Of Sils Maria (Rental Ready)","Paramount",,"Discontinued","SUB","LBX, 16:9",29.99,"R","2014","Foreign","2.35:1","032429229106",2015-07-14 00:00:00,280679,2015-08-26 00:00:00
"Clouds Of War (4-Disc)","Polart",,"Out","SUB","4:3",59.95,"NR","1973","Foreign","1.33:1","644527373393",2010-01-19 00:00:00,175366,2010-01-19 00:00:00
"Clouds Of War (4-Disc/ dist. by Facets)","Polart",,"Discontinued","SUB","4:3",79.95,"NR","1973","Foreign","1.33:1","644527373096",2004-01-13 00:00:00,38376,2014-02-14 00:00:00
"Clouds Weather And Life","United Learning",,"Out","2.0","4:3",95,"NR","UNK","Special Interest","1.33:1","9786306710942",2001-10-23 00:00:00,203540,2011-04-07 00:00:00
"Clouds: Messengers Of The Weather","Educational Video Network",,"Out","2.0","4:3",39.95,"NR","UNK","Special Interest","1.33:1","693940184437",2006-02-28 00:00:00,81475,2006-02-16 00:00:00
"Cloudstreet","Acorn Media",,"Out","2.0","LBX, 16:9",49.99,"NR","2011","Drama","1.85:1","054961884896",2012-09-04 00:00:00,231053,2012-09-04 00:00:00
"Cloudy","Live Oak Media",,"Out","2.0","4:3",29.95,"NR","2007","Special Interest","1.33:1","9781595194756",2007-07-31 00:00:00,240746,2013-01-09 00:00:00
"Cloudy With A Chance Of Meatballs","Sony Pictures",,"Out","5.1","LBX, 16:9",9.99,"PG","2009","Animation","2.35:1","043396215634",2010-01-05 00:00:00,170182,2013-09-01 00:00:00
"Cloudy With A Chance Of Meatballs (2-Disc)","Sony Pictures",,"Out","5.1","LBX, 16:9",26.99,"PG","2009","Animation","2.35:1","043396339552",2010-01-05 00:00:00,170170,2012-03-07 00:00:00
"Cloudy With A Chance Of Meatballs (3-D/ Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",26.99,"PG","2009","Animation","2.35:1","043396355781",2010-06-22 00:00:00,183025,2015-02-02 00:00:00
"Cloudy With A Chance Of Meatballs (Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",14.99,"PG","2009","Animation","2.35:1","043396215665",2010-01-05 00:00:00,170174,2013-09-01 00:00:00
"Cloudy With A Chance Of Meatballs (UMD)","Sony Pictures",,"Discontinued","2.0","LBX, 16:9",14.99,"PG","2009","Animation","1.85:1","043396263352",2010-01-05 00:00:00,170207,2011-07-30 00:00:00
"Cloudy With A Chance Of Meatballs / Cloudy With A Chance Of Meatballs 2","Sony Pictures",,"Out","5.1","LBX, 16:9",19.99,"PG","VAR","Animation","1.85:1","043396466289",2015-09-14 00:00:00,282080,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs / Hotel Transylvania / Smurfs (2011)","Sony Pictures",,"Out","5.1","LBX, 16:9",19.99,"PG","VAR","Animation","VAR","043396466296",2015-09-14 00:00:00,282091,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (Blu-ray 3D/ DVD & Blu-ray Combo w/ Digital Copy)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",26.99,"PG","2013","Animation","2.35:1","043396425064",2014-01-28 00:00:00,256452,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (DVD & Blu-ray Combo w/ Digital Copy)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",19.99,"PG","2013","Animation","2.35:1","043396425071",2014-01-28 00:00:00,256466,2015-09-08 00:00:00
"Cloudy With A Chance Of Meatballs 2 (w/ Digital Copy)","Sony Pictures",,"Out","5.1","LBX, 16:9",14.99,"PG","2013","Animation","2.35:1","043396425101",2014-01-28 00:00:00,256455,2015-09-08 00:00:00
"Clouseau: Live In Het Sportpaleis","EMI International",,"Out","2.0","4:3",17.99,"NR","UNK","Music","1.33:1","724349038493",2008-05-06 00:00:00,134231,2010-05-09 00:00:00
"Clover","RHI Entertainment",,"Out","2.0","4:3",14.93,"NR","1997","Drama","1.33:1","883476031040",2011-02-22 00:00:00,193618,2011-02-22 00:00:00
"Clover Bend (Special Edition)","IFILM",,"Discontinued","2.0","4:3",19.98,"NR","2001","Drama","1.33:1","796019752497",2005-06-14 00:00:00,64601,2011-03-11 00:00:00
"Cloverfield (Paramount)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.98,"PG-13","2008","Action/Adventure","1.85:1","032429101419",2011-10-04 00:00:00,212135,2012-12-27 00:00:00
"Cloverfield (Paramount) / Nick Of Time / Escape From L.A.","Paramount",,"Discontinued","5.1","LBX, 16:9",22.99,"VAR","VAR","VAR","VAR","032429060303",2009-05-26 00:00:00,157114,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","2008","Action/Adventure","1.85:1","097361328546",2008-06-03 00:00:00,136860,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray) (Side-By-Side)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",42.99,"VAR","VAR","VAR","1.85:1","032429056559",2008-12-30 00:00:00,149681,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray/ Back-To-Back)","Paramount",,"Discontinued","VAR","LBX, 16:9, BLU-RAY",42.99,"VAR","VAR","VAR","1.85:1","032429056542",2008-12-30 00:00:00,149672,2012-12-27 00:00:00
"Cloverfield (Paramount/ Blu-ray/ Checkpoint)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","2008","Action/Adventure","1.85:1","097361328522",2008-06-03 00:00:00,240278,2013-01-07 00:00:00
"Cloverfield (Paramount/ Special Edition w/ Movie Money)","Paramount",,"Discontinued","5.1","LBX, 16:9",19.99,"PG-13","2008","Action/Adventure","1.85:1","032429061973",2009-05-05 00:00:00,156620,2012-12-27 00:00:00
"Cloverfield (Paramount/ Special Edition)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","2008","Action/Adventure","1.85:1","097363520641",2008-04-22 00:00:00,133256,2012-12-27 00:00:00
"Cloverfield (Paramount/ Special Edition/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","2008","Action/Adventure","1.85:1","097363520627",2008-04-22 00:00:00,140005,2012-12-27 00:00:00
"Cloverfield (Paramount/ Special Edition/ En Espanol)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","2008","Action/Adventure","1.85:1","097361390840",2008-09-16 00:00:00,140030,2012-12-27 00:00:00
"Cloverfield (Paramount/ Special Edition/ En Espanol/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","2008","Action/Adventure","1.85:1","097361390826",2008-09-16 00:00:00,140021,2013-01-07 00:00:00
"Cloverfield (Paramount/ Special Edition/ Halloween 3-D Lenticular Packaging)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","2008","Action/Adventure","1.85:1","032429069221",2009-09-15 00:00:00,164737,2012-12-27 00:00:00
"Cloverfield (Warner Brothers)","Warner Brothers",,"Discontinued","5.1","LBX, 16:9",5.97,"PG-13","2008","Action/Adventure","1.85:1","883929414253",2014-04-15 00:00:00,261336,2014-06-22 00:00:00
"Cloverfield (Warner Brothers) / Dark City (1998/ Director's Cut)","Warner Brothers",,"Out","5.1","LBX, 16:9",9.97,"VAR","VAR","VAR","1.85:1","883929388059",2014-10-28 00:00:00,267248,2014-10-28 00:00:00
"Cloverfield (Warner Brothers/ Blu-ray)","Warner Brothers",,"Discontinued","5.1 TRUEHD","LBX, 16:9, BLU-RAY",14.97,"PG-13","2008","Action/Adventure","1.85:1","883929414284",2014-04-15 00:00:00,261446,2014-08-19 00:00:00
"Cloverfield (Warner Brothers/ Blu-ray/ Old Version)","Warner Brothers",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",14.97,"PG-13","2008","Action/Adventure","1.85:1","883929301614",2013-01-08 00:00:00,239063,2014-03-14 00:00:00
"Cloverfield (Warner Brothers/ Blu-ray/ Steelbook)","Warner Brothers",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",24.98,"PG-13","2008","Action/Adventure","1.85:1","883929360932",2014-03-25 00:00:00,259591,2014-03-10 00:00:00
"Cloverfield (Warner Brothers/ Old Version)","Warner Brothers",,"Out","5.1","LBX, 16:9",5.97,"PG-13","2008","Action/Adventure","1.85:1","883929303663",2013-01-08 00:00:00,239066,2014-03-14 00:00:00
"Clown (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",17.99,"NR","1953","Drama","1.33:1","883316508008",2012-07-12 00:00:00,246923,2015-02-25 00:00:00
"Clown At Midnight / Phantom Racer","RHI Entertainment",,"Discontinued","2.0","LBX, 16:9",14.93,"VAR","VAR","Horror","1.85:1","883476028606",2010-10-05 00:00:00,185860,2013-04-04 00:00:00
"Clown Hunt","Seminal Films",,"Discontinued","2.0","4:3",19.95,"NR","2010","Comedy","1.33:1","760137531593",2012-03-20 00:00:00,221486,2015-01-09 00:00:00
"Clown Murders","Image",,"Discontinued","1.0","4:3",9.97,"R","1976","Suspense/Thriller","1.33:1","014381340822",2007-06-12 00:00:00,107426,2011-07-21 00:00:00
"Clown's Recovery","Chemical Burn Entertainment",,"Out","2.0","LBX, 16:9",19.95,"NR","2013","Documentary","1.85:1","887936835285",2014-08-26 00:00:00,265454,2015-01-26 00:00:00
"Clownhouse","MGM/UA",,"Cancelled","1.0","LBX, 16:9",14.98,"R","1988","Horror","1.85:1","027616888525",2003-08-26 00:00:00,28257,2007-11-16 00:00:00
"Clowns","Raro Video USA",,"Discontinued","SUB","4:3",29.98,"NR","1970","Foreign","1.33:1","816018010012",2011-03-01 00:00:00,194273,2013-03-07 00:00:00
"Clowns (Blu-ray)","Raro Video USA",,"Discontinued","SUB","4:3, BLU-RAY",39.98,"NR","1970","Foreign","1.33:1","816018010203",2011-10-18 00:00:00,211496,2013-03-07 00:00:00
"Clowns Du Carrousel: Noel Autour Du Monde","Distribution Select",,"Out","2.0","4:3",19.99,"NR","UNK","Foreign","1.33:1","622406014094",2006-10-31 00:00:00,129060,2008-01-09 00:00:00
"Clownstrophobia","Seminal Films",,"Discontinued","2.0","4:3",24.95,"NR","UNK","Horror","1.33:1","653496123922",2010-03-09 00:00:00,173720,2015-01-09 00:00:00
"Club (1980)","Trinity Home Entertainment",,"Discontinued","2.0","4:3",9.99,"PG","1980","Action/Adventure","1.33:1","692865442332",2007-08-21 00:00:00,115939,2008-08-16 00:00:00
"Club (2004)","Vanguard",,"Discontinued","2.0","4:3",19.95,"NR","2004","Drama","1.33:1","658769442434",2004-11-30 00:00:00,49650,2014-02-14 00:00:00
"Club 4. Wir Entdecken Die Bibel: Begleit-DVD Zur Arbeitshilfe Fur Katechetinnen Und Katecheten. 4. Schuljahr (DVD-ROM)","Theologischer Verlag Zurich",,"Out","2.0","4:3",22,"NR","2012","Special Interest","1.33:1","9783290176457",2012-07-01 00:00:00,249284,2013-07-06 00:00:00
"Club America: El Vuelo De Aguilas","Xenon",,"Discontinued","2.0","4:3",9.98,"NR","UNK","Sports","1.33:1","000799442722",2003-07-08 00:00:00,30484,2013-09-27 00:00:00
"Club Classics: Universal Stories Of Dance #1: U.K.","Recognition Media",,"Discontinued","5.1","4:3",5.95,"NR","UNK","Music","1.33:1","804909001492",2002-09-17 00:00:00,14021,2011-03-30 00:00:00
"Club Claude: More Vegetables Please","HP Releasing",,"Discontinued","2.0","4:3",9.99,"NR","UNK","Special Interest","1.33:1","837101277549",2007-05-22 00:00:00,108751,2014-09-01 00:00:00
"Club Dance Moves","CypherStyles.com",,"Out","2.0","4:3",21.95,"NR","2010","Special Interest","1.33:1","885007208235",2011-10-25 00:00:00,215075,2011-10-25 00:00:00
"Club Deluxe (DVD/CD Combo)","ZYX Music",,"Out","2.0","4:3",7.98,"NR","UNK","Music","1.33:1","880831046329",2009-05-26 00:00:00,160733,2011-05-13 00:00:00
"Club Divas: 2 Hot 2 Dance Mix","Sony Norte",,"Discontinued","2.0","4:3",5.98,"NR","UNK","Music","1.33:1","886977610790",2010-10-25 00:00:00,188581,2015-03-07 00:00:00
"Club Divas: Hot Dance Mix","Sony Norte",,"Out","2.0","4:3",5.98,"NR","UNK","Music","1.33:1","886976457495",2010-09-14 00:00:00,187956,2011-11-06 00:00:00
"Club Dread (R-Rated Version w/ Spanish & French Soundtracks)","Fox",,"Discontinued","5.1","4:3 P&S, LBX, 16:9",6.98,"R","2004","Comedy","1.85:1","024543125594",2004-05-25 00:00:00,42814,2015-07-09 00:00:00
"Club Dread (R-Rated Version w/ Spanish & French Soundtracks) / Super Troopers (Special Edition) (Back-To-Back)","Fox",,"Discontinued","5.1","VAR",26.98,"R","VAR","Comedy","1.85:1","024543144823",2004-10-12 00:00:00,47888,2009-05-02 00:00:00
"Club Dread (R-Rated Version w/ Spanish & French Soundtracks) / Super Troopers (Special Edition) (Side-By-Side)","Fox",,"Discontinued","5.1","VAR",26.98,"R","VAR","Comedy","1.85:1","024543144854",2004-10-12 00:00:00,47914,2008-03-24 00:00:00
"Club Dread (R-Rated Version) / Super Troopers (2-Pack)","Fox",,"Discontinued","5.1","LBX, 16:9",26.98,"R","VAR","Comedy","1.85:1","024543144915",2004-10-12 00:00:00,54356,2014-05-26 00:00:00
"Club Dread (R-Rated Version/ Old Version)","Fox",,"Discontinued","5.1","4:3 P&S, LBX, 16:9",27.98,"R","2004","Comedy","1.85:1","024543125679",2004-05-25 00:00:00,41652,2004-08-27 00:00:00
"Club Dread (R-Rated Version/ Version Francaise)","Fox",,"Out","5.1","4:3 P&S, LBX, 16:9",27.98,"R","2004","Comedy","1.85:1","024543125631",2004-05-25 00:00:00,61301,2005-02-27 00:00:00
"Club Dread (Unrated Version)","Fox",,"Out","5.1","LBX, 16:9",6.98,"UR","2004","Comedy","1.85:1","024543130116",2004-09-28 00:00:00,48978,2014-08-19 00:00:00
"Club Dread (Unrated Version) / Super Troopers (2-Pack)","Fox",,"Discontinued","5.1","LBX, 16:9",26.98,"VAR","VAR","Comedy","1.85:1","024543144885",2004-10-12 00:00:00,49418,2008-03-24 00:00:00
"Club Drugs: Dancing With Danger","Discovery Education",,"Out","2.0","4:3",99.95,"NR","UNK","Special Interest","1.33:1","9786313674640",2010-05-18 00:00:00,182549,2010-05-18 00:00:00
"Club Drugs: What You Should Know","Sunburst Visual Media",,"Out","2.0","4:3",129.95,"NR","UNK","Special Interest","1.33:1","743452064021",2009-09-01 00:00:00,180468,2010-04-11 00:00:00
"Club Drugs: What You Should Know (DVD/VHS Combo)","Sunburst Visual Media",,"Out","2.0","4:3",129.95,"NR","UNK","Special Interest","1.33:1","9786308895326",2004-10-19 00:00:00,155817,2009-02-26 00:00:00
"Club Erotique","Peach DVD",,"Discontinued","2.0","4:3",19.99,"UR","UNK","Late Night","1.33:1","825679021992",2006-08-22 00:00:00,91144,2010-01-10 00:00:00
"Club Erotique 2","Peach DVD",,"Discontinued","2.0","4:3",19.99,"UR","UNK","Late Night","1.33:1","825679026997",2007-05-22 00:00:00,110113,2010-01-22 00:00:00
"Club Europe House Sessions Amnesia Ibiza (DVD/CD Combo)","Hi-Bias Records",,"Out","2.0","4:3",17.99,"NR","UNK","Music","1.33:1","772408102128",2005-09-06 00:00:00,130821,2008-02-09 00:00:00
"Club Eutanasia (DistriMax)","DistriMax",,"Out","SUB","4:3",9.96,"PG-13","2005","Foreign","1.33:1","876122001078",2008-10-07 00:00:00,145048,2014-12-06 00:00:00
"Club Eutanasia (Studio Latino)","Studio Latino",,"Discontinued","SUB","LBX",14.98,"PG-13","2005","Foreign","1.78:1","687797909992",2007-11-13 00:00:00,118547,2008-11-16 00:00:00
"Club Fed","Trinity Home Entertainment",,"Discontinued","2.0","4:3",7.99,"PG-13","1990","Comedy","1.33:1","692865254430",2006-02-14 00:00:00,77427,2006-06-22 00:00:00
"Club Files 8 (DVD/CD Combo)","Ministry Of Sound Germany",,"Out","2.0","4:3",26.98,"NR","2009","Music","1.33:1","807297133424",2009-11-17 00:00:00,171539,2009-11-17 00:00:00
"Club Files, Vol. 1 (DVD/CD Combo)","Ministry Of Sound Germany",,"Discontinued","2.0","4:3",39.98,"NR","UNK","Music","1.33:1","807297094725",2007-08-21 00:00:00,115508,2009-11-23 00:00:00
"Club Files, Vol. 2 (DVD/CD Combo)","Ministry Of Sound Germany",,"Discontinued","2.0","4:3",39.98,"NR","UNK","Music","1.33:1","807297095227",2008-12-31 00:00:00,123127,2009-09-11 00:00:00
"Club Files, Vol. 3 (DVD/CD Combo)","Ministry Of Sound Germany",,"Out","2.0","4:3",39.99,"NR","UNK","Music","1.33:1","807297095524",2008-09-09 00:00:00,143735,2008-08-22 00:00:00
"Club Files, Vol. 4 (DVD/CD Combo)","Ministry Of Sound Germany",,"Out","2.0","4:3",26.98,"NR","UNK","Music","1.33:1","807297106121",2008-12-31 00:00:00,141180,2009-05-14 00:00:00
"Club Flashers","Wild Wild West Video",,"Out","2.0","4:3",7.95,"UR","2012","Late Night","1.33:1","760137542292",2012-07-24 00:00:00,229858,2013-12-04 00:00:00
"Club Havana (On Demand DVD-R)","Mr. Fat-W Video",,"Out","2.0","4:3",14.99,"NR","1945","Drama","1.33:1","886470462490",2012-05-08 00:00:00,276449,2015-02-26 00:00:00
"Club Inferno","Nectar Entertainment",,"Cancelled","2.0","4:3",19.99,"UR","UNK","Late Night","1.33:1","883037200151",2005-05-24 00:00:00,65818,2010-04-28 00:00:00
"Club Le Monde","Jinga Films",,"Out","2.0","4:3",16.95,"NR","2002","Comedy","1.33:1","760137577492",2013-08-27 00:00:00,247979,2013-08-27 00:00:00
"Club Life (2015/ Rental Ready)","Paramount",,"Out","2.0","LBX, 16:9",29.99,"NR","2015","Drama","1.85:1","032429230010",2015-08-25 00:00:00,280666,2015-08-25 00:00:00
"Club Life (UNK): The Origianl Pilot Episode (On Demand DVD-R)","JaxDistribution",,"Out","2.0","4:3",12.95,"PG-13","UNK","Special Interest","1.33:1","886470868742",2013-07-22 00:00:00,280684,2015-06-12 00:00:00
"Club Lingerie (On Demand DVD-R)","Apprehensive Films",,"Out","2.0","4:3",21.98,"NR","2014","Comedy","1.33:1","634392186808",2015-03-23 00:00:00,278514,2015-04-08 00:00:00
"Club Med (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",19.99,"NR","1986","Comedy","1.33:1","883316878651",2013-10-15 00:00:00,263743,2015-02-25 00:00:00
"Club Med Party Dances","Turn Up The Music",,"Discontinued","2.0","4:3",12.99,"NR","UNK","Music","1.33:1","790617114497",2005-04-19 00:00:00,64246,2005-10-01 00:00:00
"Club Millennium","Music Video Distributors",,"Out","2.0","4:3",15.95,"NR","2015","Music","1.33:1","793283785503",2015-07-07 00:00:00,279599,2015-07-07 00:00:00
"Club MTV Party To Go #1","Pioneer",,"Discontinued","2.0","4:3",24.98,"NR","1991","Music","1.33:1","013023001893",1998-02-10 00:00:00,1282,2003-04-29 00:00:00
"Club MTV Party To Go #2","Pioneer",,"Discontinued","2.0","4:3",24.98,"NR","1991","Music","1.33:1","013023002494",1998-03-24 00:00:00,1283,2003-05-06 00:00:00
"Club Officers In Action","Educational Video Network",,"Out","2.0","4:3",79.95,"NR","UNK","Special Interest","1.33:1","693940206931",2006-02-28 00:00:00,82200,2006-02-24 00:00:00
"Club Paradise (1945/ a.k.a. Sensational Hunters/ A2ZCDS)","A2ZCDS",,"Discontinued","2.0","4:3",14.95,"NR","1945","Drama","1.33:1","882012600825",2005-10-03 00:00:00,141819,2012-08-06 00:00:00
"Club Paradise (1945/ a.k.a. Sensational Hunters/ Alpha Video)","Alpha Video",,"Out","2.0","4:3",7.98,"NR","1945","Drama","1.33:1","089218681898",2012-11-20 00:00:00,232489,2013-03-02 00:00:00
"Club Paradise (1986)","Warner Brothers",,"Out","2.0","LBX",14.97,"PG-13","1986","Comedy","1.85:1","012569734029",2006-02-14 00:00:00,75498,2008-07-26 00:00:00
"Club Privado","DistriMax",,"Discontinued","2.0","4:3",5.98,"UR","1995","Late Night","1.33:1","876122001054",2009-04-14 00:00:00,156658,2014-12-06 00:00:00
"Club TV","Lost Empire",,"Out","2.0","4:3",9.95,"NR","UNK","Special Interest","1.33:1","741360777897",2013-08-20 00:00:00,247991,2013-08-20 00:00:00
"Club Vampire","New Horizons",,"Discontinued","2.0","4:3",9.98,"R","1997","Horror","1.33:1","736991455795",2002-06-25 00:00:00,17807,2005-07-09 00:00:00
"Clubbed","Well Go USA",,"Out","2.0","4:3",24.98,"NR","2008","Drama","1.33:1","812491011690",2011-01-18 00:00:00,193381,2011-01-19 00:00:00
"Clubbell Training For Circular Strength: An Ancient Tool For The Modern Athlete","RMAX",,"Out","2.0","4:3",39.95,"NR","UNK","Special Interest","1.33:1","823647949590",2002-09-01 00:00:00,100881,2006-11-26 00:00:00
"Clubbing: Las Vegas","Chrome Productions",,"Out","2.0","4:3",19.99,"NR","UNK","Late Night","1.33:1","798694185362",2004-04-13 00:00:00,42410,2006-03-26 00:00:00
"Clubhouse Detectives","Ardustry",,"Discontinued","2.0","4:3",9.98,"PG","1996","Family","1.33:1","783722707135",2003-03-25 00:00:00,26784,2007-11-01 00:00:00
"Clubland (Platinum)","Platinum",,"Discontinued","2.0","4:3",3.99,"R","1999","Action/Adventure","1.33:1","096009111892",2003-04-01 00:00:00,52117,2006-08-18 00:00:00
"Clubland (Platinum) / No Strings Attached","Platinum",,"Discontinued","2.0","4:3",14.99,"R","VAR","Drama","1.33:1","096009245894",2005-01-11 00:00:00,58703,2005-08-20 00:00:00
"Clubland (PM Entertainment)","PM Entertainment",,"Discontinued","2.0","4:3",19.99,"R","1999","Action/Adventure","1.33:1","757449337937",2000-12-26 00:00:00,24554,2004-10-02 00:00:00
"Clubtunes","ZYX Music",,"Discontinued","2.0","4:3",14.98,"NR","UNK","Music","1.33:1","090204915811",2008-03-11 00:00:00,133507,2014-09-01 00:00:00
"Clubtunes On DVD 2","ZYX Music",,"Out","2.0","4:3",14.98,"NR","UNK","Music","1.33:1","090204778386",2009-04-14 00:00:00,158098,2011-05-13 00:00:00
"Clubtunes, Vol. 7","ZYX Music",,"Discontinued","2.0","4:3",14.98,"NR","2012","Music","1.33:1","090204636211",2012-10-09 00:00:00,235170,2014-09-01 00:00:00
"Clucose Monitoring","Concept Media",,"Out","2.0","4:3",411.95,"NR","2009","Special Interest","1.33:1","9780840020406",2009-06-22 00:00:00,177346,2015-07-09 00:00:00
"Clue (1985/ Paramount)","Paramount",,"Discontinued","1.0","LBX, 16:9",6.99,"PG","1985","Comedy","1.85:1","097360184044",2000-06-27 00:00:00,1284,2014-04-26 00:00:00
"Clue (1985/ Paramount/ Blu-ray)","Paramount",,"Discontinued","1.0 DTS-HD","LBX, 16:9, BLU-RAY",21.99,"PG","1985","Comedy","1.85:1","097361470344",2012-08-07 00:00:00,228197,2014-04-26 00:00:00
"Clue (1985/ Paramount/ Blu-ray/ Checkpoint)","Paramount",,"Discontinued","1.0 DTS-HD","LBX, 16:9, BLU-RAY",21.99,"PG","1985","Comedy","1.85:1","097361470320",2012-08-07 00:00:00,228251,2014-04-26 00:00:00
"Clue (1985/ Paramount/ Canadian)","Paramount",,"Discontinued","1.0","LBX, 16:9",24.99,"PG","1985","Comedy","1.85:1","097360184075",2000-06-27 00:00:00,38714,2014-04-26 00:00:00
"Clue (1985/ Paramount/ Checkpoint)","Paramount",,"Discontinued","1.0","LBX, 16:9",6.99,"PG","1985","Comedy","1.85:1","097360184020",2000-06-27 00:00:00,56834,2014-04-26 00:00:00
"Clue (1985/ Paramount/ DVD/Combo)","Paramount",,"Discontinued","1.0","LBX, 16:9",14.99,"PG","1985","Comedy","1.85:1","097361383545",2009-02-03 00:00:00,149484,2014-11-13 00:00:00
"Clue (1985/ Paramount/ DVD/Combo/ Checkpoint)","Paramount",,"Discontinued","1.0","LBX, 16:9",6.99,"PG","1985","Comedy","1.85:1","097361383521",2009-02-03 00:00:00,149509,2014-04-26 00:00:00
"Clue (1985/ Warner Brothers)","Warner Brothers",,"Out","1.0","LBX, 16:9",5.97,"PG","1985","Comedy","1.85:1","883929303533",2013-01-08 00:00:00,239041,2014-04-26 00:00:00
"Clue (1985/ Warner Brothers/ Blu-ray)","Warner Brothers",,"Out","1.0 DTS-HD","LBX, 16:9, BLU-RAY",14.98,"PG","1985","Comedy","1.85:1","883929310401",2013-01-01 00:00:00,272637,2014-11-06 00:00:00
"Clue (2011)","Shout! Factory",,"Out","2.0","LBX, 16:9",12.99,"PG","2011","Mystery/Suspense","1.78:1","826663150803",2014-07-15 00:00:00,263919,2014-07-15 00:00:00
"Clue Club: The Complete Series (On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",24.99,"NR","1976","Animation","1.33:1","888574310851",2015-08-11 00:00:00,282686,2015-08-11 00:00:00
"Clueless (Paramount)","Paramount",,"Discontinued","5.1","LBX, 16:9",19.99,"PG-13","1995","Comedy","1.85:1","097363321576",1999-10-19 00:00:00,1285,2012-12-27 00:00:00
"Clueless (Paramount/ Blu-ray)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","1995","Comedy","1.85:1","097361470146",2012-05-01 00:00:00,223564,2012-12-27 00:00:00
"Clueless (Paramount/ Blu-ray/ Checkpoint)","Paramount",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",22.99,"PG-13","1995","Comedy","1.85:1","097361470122",2012-05-01 00:00:00,223498,2012-12-27 00:00:00
"Clueless (Paramount/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",19.99,"PG-13","1995","Comedy","1.85:1","097363321521",1999-10-19 00:00:00,23674,2012-12-27 00:00:00
"Clueless (Paramount/ SensorMatic)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","1995","Comedy","1.85:1","097363321545",1999-10-19 00:00:00,23675,2012-12-27 00:00:00
"Clueless (Paramount/ Whatever! Edition w/ Footloose Movie Money)","Paramount",,"Discontinued","5.1","LBX, 16:9",11.99,"PG-13","1995","Comedy","1.85:1","032429100269",2011-09-27 00:00:00,211691,2012-12-27 00:00:00
"Clueless (Paramount/ Whatever! Edition)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","1995","Comedy","1.85:1","097360504545",2005-08-30 00:00:00,66692,2012-12-27 00:00:00
"Clueless (Paramount/ Whatever! Edition/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"PG-13","1995","Comedy","1.85:1","097360504521",2005-08-30 00:00:00,240418,2013-01-07 00:00:00
"Clueless (Warner Brothers/ Blu-ray)","Warner Brothers",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",14.97,"PG-13","1995","Comedy","1.85:1","883929301805",2013-01-08 00:00:00,239069,2013-01-08 00:00:00
