"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Code Geass: Lelouch Of The Rebellion #5 & 6 (Limited Edition)","Bandai Entertainment",,"Discontinued","SUB","4:3",64.98,"MA13","2007","Anime","1.33:1","669198803246",2009-02-24 00:00:00,151439,2014-02-09 00:00:00
"Code Geass: Lelouch Of The Rebellion #6","Bandai Entertainment",,"Discontinued","SUB","4:3",24.98,"MA13","2006","Anime","1.33:1","669198803154",2009-02-03 00:00:00,152667,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 1","Bandai Entertainment",,"Discontinued","SUB","4:3",39.98,"MA13","2008","Anime","1.33:1","669198803314",2009-08-18 00:00:00,160506,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 1 (Limited Edition w/ Manga)","Bandai Entertainment",,"Discontinued","SUB","4:3",44.98,"MA13","2008","Anime","1.33:1","669198803253",2009-08-18 00:00:00,160503,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 2","Bandai Entertainment",,"Discontinued","SUB","4:3",39.98,"MA13","2008","Anime","1.33:1","669198803321",2009-12-01 00:00:00,166121,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 2 (Limited Edition)","Bandai Entertainment",,"Discontinued","SUB","4:3",44.98,"MA13","2008","Anime","1.33:1","669198803260",2009-12-01 00:00:00,166142,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 3","Bandai Entertainment",,"Discontinued","SUB","4:3",39.98,"MA13","2008","Anime","1.33:1","669198803338",2010-01-19 00:00:00,168514,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 3 (Limited Edition)","Bandai Entertainment",,"Discontinued","SUB","4:3",44.98,"MA13","2008","Anime","1.33:1","669198803277",2010-01-19 00:00:00,168521,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 4","Bandai Entertainment",,"Discontinued","SUB","4:3",39.98,"MA13","2008","Anime","1.33:1","669198803369",2010-04-06 00:00:00,174051,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion R2, Part 4 (Limited Edition)","Bandai Entertainment",,"Discontinued","SUB","4:3",44.98,"MA13","2008","Anime","1.33:1","669198803352",2010-04-06 00:00:00,173970,2012-01-14 00:00:00
